"","neighborhood","dow","source","request_type","responsible_agency","request_details","count"
"31","Bayview","Wed","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",22
"32","Bayview","Wed","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",2
"33","Bayview","Wed","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",1
"34","Bayview","Wed","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",14
"35","Bayview","Wed","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",10
"36","Bayview","Wed","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",3
"37","Bayview","Wed","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",15
"38","Bayview","Wed","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"39","Bayview","Thurs","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"40","Bayview","Thurs","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",6
"41","Bayview","Thurs","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",28
"42","Bayview","Thurs","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",4
"43","Bayview","Thurs","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",1
"44","Bayview","Thurs","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",13
"45","Bayview","Thurs","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",16
"46","Bayview","Thurs","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",3
"47","Bayview","Thurs","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",19
"48","Bayview","Thurs","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"49","Bayview","Fri","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",1
"50","Bayview","Fri","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",9
"51","Bayview","Fri","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",5
"52","Bayview","Fri","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",6
"53","Bayview","Fri","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",12
"54","Bayview","Fri","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",6
"55","Bayview","Fri","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",15
"56","Bayview","Sat","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",1
"57","Bayview","Sat","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",7
"58","Bayview","Sat","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",4
"59","Bayview","Sat","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",8
"60","Bayview","Sat","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",3
"61","Bayview","Sat","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",2
"62","Bayview","Sat","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",7
"63","Bernal Heights","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",1
"64","Bernal Heights","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",6
"65","Bernal Heights","Sun","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",1
"66","Bernal Heights","Sun","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",7
"67","Bernal Heights","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",18
"68","Bernal Heights","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",3
"69","Bernal Heights","Sun","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"70","Bernal Heights","Sun","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",7
"71","Bernal Heights","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",1
"72","Bernal Heights","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",6
"73","Bernal Heights","Mon","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"74","Bernal Heights","Mon","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",3
"75","Bernal Heights","Mon","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",4
"76","Bernal Heights","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",12
"77","Bernal Heights","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",6
"78","Bernal Heights","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",2
"79","Bernal Heights","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",3
"80","Bernal Heights","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",3
"81","Bernal Heights","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",2
"82","Bernal Heights","Tues","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",3
"83","Bernal Heights","Tues","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",3
"84","Bernal Heights","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",17
"85","Bernal Heights","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",8
"86","Bernal Heights","Tues","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",8
"87","Bernal Heights","Tues","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",3
"88","Bernal Heights","Tues","Web Self Service","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",1
"89","Bernal Heights","Wed","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",2
"90","Bernal Heights","Wed","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",2
"91","Bernal Heights","Wed","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",2
"92","Bernal Heights","Wed","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",2
"93","Bernal Heights","Wed","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",15
"94","Bernal Heights","Wed","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",8
"95","Bernal Heights","Wed","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",3
"96","Bernal Heights","Wed","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",4
"97","Bernal Heights","Thurs","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",2
"98","Bernal Heights","Thurs","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",2
"99","Bernal Heights","Thurs","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",2
"100","Bernal Heights","Thurs","Twitter","Illegal_Dumping","Recology_Abandoned","Garbage",1
"101","Bernal Heights","Thurs","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",3
"102","Bernal Heights","Thurs","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",16
"103","Bernal Heights","Thurs","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",5
"104","Bernal Heights","Thurs","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",2
"105","Bernal Heights","Thurs","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",10
"106","Bernal Heights","Fri","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"107","Bernal Heights","Fri","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",1
"108","Bernal Heights","Fri","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",3
"109","Bernal Heights","Fri","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",6
"110","Bernal Heights","Fri","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",2
"111","Bernal Heights","Fri","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",18
"112","Bernal Heights","Fri","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",4
"113","Bernal Heights","Fri","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",5
"114","Bernal Heights","Fri","Web Self Service","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",1
"115","Bernal Heights","Sat","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",6
"116","Bernal Heights","Sat","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",2
"117","Bernal Heights","Sat","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",10
"118","Bernal Heights","Sat","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",14
"119","Bernal Heights","Sat","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",9
"120","Bernal Heights","Sat","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",10
"121","Castro/Upper Market","Sun","Integrated Agency","Illegal_Dumping","Recology_Abandoned","Furniture",1
"122","Castro/Upper Market","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",12
"123","Castro/Upper Market","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",7
"124","Castro/Upper Market","Sun","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",4
"125","Castro/Upper Market","Sun","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",8
"126","Castro/Upper Market","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",3
"127","Castro/Upper Market","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",4
"128","Castro/Upper Market","Sun","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"129","Castro/Upper Market","Sun","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",9
"130","Castro/Upper Market","Mon","Integrated Agency","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",1
"131","Castro/Upper Market","Mon","Integrated Agency","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"132","Castro/Upper Market","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",11
"133","Castro/Upper Market","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",14
"134","Castro/Upper Market","Mon","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",4
"135","Castro/Upper Market","Mon","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",3
"136","Castro/Upper Market","Mon","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",3
"137","Castro/Upper Market","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",13
"138","Castro/Upper Market","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",12
"139","Castro/Upper Market","Mon","Voice In","Sidewalk_Cleaning","DPW BSM Queue","Sidewalk_Cleaning",1
"140","Castro/Upper Market","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",10
"141","Castro/Upper Market","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",16
"142","Castro/Upper Market","Tues","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",2
"143","Castro/Upper Market","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",7
"144","Castro/Upper Market","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",13
"145","Castro/Upper Market","Tues","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",2
"146","Castro/Upper Market","Tues","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",5
"147","Castro/Upper Market","Tues","Open311","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"148","Castro/Upper Market","Tues","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",4
"149","Castro/Upper Market","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",8
"150","Castro/Upper Market","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",8
"151","Castro/Upper Market","Tues","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",4
"152","Castro/Upper Market","Tues","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",18
"153","Castro/Upper Market","Wed","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",6
"154","Castro/Upper Market","Wed","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",18
"155","Castro/Upper Market","Wed","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",3
"156","Castro/Upper Market","Wed","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",8
"157","Castro/Upper Market","Wed","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",4
"158","Castro/Upper Market","Wed","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",8
"159","Castro/Upper Market","Wed","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",12
"160","Castro/Upper Market","Wed","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",5
"161","Castro/Upper Market","Wed","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",14
"162","Castro/Upper Market","Thurs","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",6
"163","Castro/Upper Market","Thurs","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",13
"164","Castro/Upper Market","Thurs","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"165","Castro/Upper Market","Thurs","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",3
"166","Castro/Upper Market","Thurs","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",7
"167","Castro/Upper Market","Thurs","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",8
"168","Castro/Upper Market","Thurs","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",10
"169","Castro/Upper Market","Thurs","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",5
"170","Castro/Upper Market","Thurs","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",8
"171","Castro/Upper Market","Fri","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",10
"172","Castro/Upper Market","Fri","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",12
"173","Castro/Upper Market","Fri","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",2
"174","Castro/Upper Market","Fri","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",6
"175","Castro/Upper Market","Fri","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",8
"176","Castro/Upper Market","Fri","Voice In","Illegal_Dumping","DPW Ops Queue","Garbage",2
"177","Castro/Upper Market","Fri","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",6
"178","Castro/Upper Market","Fri","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",1
"179","Castro/Upper Market","Fri","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",2
"180","Castro/Upper Market","Fri","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",16
"181","Castro/Upper Market","Sat","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",5
"182","Castro/Upper Market","Sat","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",10
"183","Castro/Upper Market","Sat","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"184","Castro/Upper Market","Sat","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",5
"185","Castro/Upper Market","Sat","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",8
"186","Castro/Upper Market","Sat","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",4
"187","Castro/Upper Market","Sat","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",2
"188","Castro/Upper Market","Sat","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",4
"189","Castro/Upper Market","Sat","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",5
"190","Downtown/Civic Center","Sun","Open311","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",2
"191","Downtown/Civic Center","Sun","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"192","Downtown/Civic Center","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",5
"193","Downtown/Civic Center","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",12
"194","Downtown/Civic Center","Sun","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"195","Downtown/Civic Center","Sun","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",4
"196","Downtown/Civic Center","Sun","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",137
"197","Downtown/Civic Center","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",12
"198","Downtown/Civic Center","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",15
"199","Downtown/Civic Center","Sun","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",19
"200","Downtown/Civic Center","Sun","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",22
"201","Downtown/Civic Center","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",22
"202","Downtown/Civic Center","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",45
"203","Downtown/Civic Center","Mon","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",23
"204","Downtown/Civic Center","Mon","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",7
"205","Downtown/Civic Center","Mon","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",114
"206","Downtown/Civic Center","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",27
"207","Downtown/Civic Center","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",19
"208","Downtown/Civic Center","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",375
"209","Downtown/Civic Center","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",26
"210","Downtown/Civic Center","Mon","Web Self Service","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",1
"211","Downtown/Civic Center","Tues","Open311","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",9
"212","Downtown/Civic Center","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",8
"213","Downtown/Civic Center","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",33
"214","Downtown/Civic Center","Tues","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",7
"215","Downtown/Civic Center","Tues","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",17
"216","Downtown/Civic Center","Tues","Twitter","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"217","Downtown/Civic Center","Tues","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",126
"218","Downtown/Civic Center","Tues","Voice In","Illegal_Dumping","DPW Ops Queue","Garbage",1
"219","Downtown/Civic Center","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",17
"220","Downtown/Civic Center","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",14
"221","Downtown/Civic Center","Tues","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",314
"222","Downtown/Civic Center","Tues","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",20
"223","Downtown/Civic Center","Tues","Web Self Service","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",2
"224","Downtown/Civic Center","Wed","Integrated Agency","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",1
"225","Downtown/Civic Center","Wed","Open311","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",7
"226","Downtown/Civic Center","Wed","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"227","Downtown/Civic Center","Wed","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",6
"228","Downtown/Civic Center","Wed","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",24
"229","Downtown/Civic Center","Wed","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",12
"230","Downtown/Civic Center","Wed","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",8
"231","Downtown/Civic Center","Wed","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",101
"232","Downtown/Civic Center","Wed","Voice In","Illegal_Dumping","DPW Ops Queue","Garbage",1
"233","Downtown/Civic Center","Wed","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",18
"234","Downtown/Civic Center","Wed","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",17
"235","Downtown/Civic Center","Wed","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",272
"236","Downtown/Civic Center","Wed","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",28
"237","Downtown/Civic Center","Wed","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"238","Downtown/Civic Center","Wed","Web Self Service","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",2
"239","Downtown/Civic Center","Thurs","Integrated Agency","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",1
"240","Downtown/Civic Center","Thurs","Open311","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",20
"241","Downtown/Civic Center","Thurs","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",11
"242","Downtown/Civic Center","Thurs","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",26
"243","Downtown/Civic Center","Thurs","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",12
"244","Downtown/Civic Center","Thurs","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",12
"245","Downtown/Civic Center","Thurs","Twitter","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",1
"246","Downtown/Civic Center","Thurs","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",129
"247","Downtown/Civic Center","Thurs","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",14
"248","Downtown/Civic Center","Thurs","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",14
"249","Downtown/Civic Center","Thurs","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",325
"250","Downtown/Civic Center","Thurs","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",24
"251","Downtown/Civic Center","Thurs","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"252","Downtown/Civic Center","Fri","Open311","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",3
"253","Downtown/Civic Center","Fri","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",8
"254","Downtown/Civic Center","Fri","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",9
"255","Downtown/Civic Center","Fri","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",5
"256","Downtown/Civic Center","Fri","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",7
"257","Downtown/Civic Center","Fri","Open311","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"258","Downtown/Civic Center","Fri","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",116
"259","Downtown/Civic Center","Fri","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",17
"260","Downtown/Civic Center","Fri","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",10
"261","Downtown/Civic Center","Fri","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",315
"262","Downtown/Civic Center","Fri","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",20
"263","Downtown/Civic Center","Sat","Integrated Agency","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",1
