"tenured","profnumber","minority","age","beautyf2upper","beautyflowerdiv","beautyfupperdiv","beautym2upper","beautymlowerdiv","beautymupperdiv","btystdave","btystdf2u","btystdfl","btystdfu","btystdm2u","btystdml","btystdmu","class1","class2","class3","class4","class5","class6","class7","class8","class9","class10","class11","class12","class13","class14","class15","class16","class17","class18","class19","class20","class21","class22","class23","class24","class25","class26","class27","class28","class29","class30","courseevaluation","didevaluation","female","formal","fulldept","lower","multipleclass","nonenglish","onecredit","percentevaluating","profevaluation","students","tenuretrack","blkandwhite","btystdvariance","btystdavepos","btystdaveneg","fit_m1","fit_m2","fit_m3","resid_m1","resid_m2","resid_m3"
"0","11","1",35,4,5,7,7,2,4,0.1432643,-0.6650018,0.4580018,0.8758139,1.286255,-0.9000649,-0.1954181,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.1,18,"0","0","1","0","1","1","0",72,3.6,25,"1","0",3.798652,0.143264,0,3.39508137685191,3.40080682232168,0.454721292622855,0.204918623148092,0.199193177678321,-1.10132486156556
"0","12","0",37,5,4,5,4,3,5,-0.1550228,-0.1878249,-0.0735065,-0.092733,-0.5273642,-0.3125226,0.2638144,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4,30,"0","0","1","0","0","0","0",88.23529,4.1,34,"0","0",0.3504698,0,-0.155023,4.2163790225698,4.21542369430814,0.407658544237659,-0.116379022569797,-0.115423694308144,-1.02339828707244
"1","13","0",42,5,4,7,5,4,4,0.1285433,-0.1878249,-0.0735065,0.8758139,0.0771755,0.2750198,-0.1954181,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.8,28,"0","0","1","0","0","0","0",70,4.1,40,"1","0",0.8283713,0.128543,0,4.01812008795017,4.02086105432812,0.537661187102049,0.0818799120498293,0.0791389456718843,1.11402574562321
"1","14","0",49,5,3,3,5,1,7,-0.3470453,-0.1878249,-0.6050149,-1.06128,0.0771755,-1.487607,1.182279,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.4,30,"0","0","1","0","0","1","0",83.33334,3.5,36,"1","0",4.42171,0,-0.347045,3.63907033217796,3.63147718191772,0.694642124467389,-0.139070332177956,-0.131477181917723,0.853649219366622
"0","15","0",37,7,6,7,4,5,4,0.4619388,0.7665288,0.9895102,0.8758139,-0.5273642,0.8625621,-0.1954181,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2.9,23,"1","0","1","0","1","0","0",82.14286,2.9,28,"1","0",2.113737,0.461939,0,3.21102162059143,3.20501612433242,0.284450029736322,-0.31102162059143,-0.305016124332417,-0.818173383559435
"1","16","0",45,3,2,4,7,5,4,-0.1503849,-1.142179,-1.136523,-0.5770065,1.286255,0.8625621,-0.1954181,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.5,23,"0","0","1","0","1","0","0",69.69697,4.6,33,"1","0",5.230154,0,-0.150385,4.65830510035433,4.64944751700191,0.5365561602727,-0.0583051003543282,-0.0494475170019086,1.11587099918402
"0","17","0",56,1,3,4,3,2,2,-1.070734,-2.096532,-0.6050149,-0.5770065,-1.131904,-0.9000649,-1.113883,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4,27,"1","0","1","0","1","0","0",65.85366,4.4,41,"0","0",1.547655,0,-1.07073,4.14767409043919,4.14330041200538,0.604293854088115,0.252325909560815,0.256699587994617,-1.36167793473008
"0","18","0",48,6,3,5,4,4,4,-0.1426931,0.2893519,-0.6050149,-0.092733,-0.5273642,0.2750198,-0.1954181,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.8,100,"0","0","1","1","0","0","0",74.07407,4,135,"0","0",0.7281362,0,-0.142693,3.99728061432864,3.99474717742538,0.653736516007874,0.00271938567136498,0.00525282257462356,-1.45640329531438
"1","19","0",46,5,4,4,5,2,6,-0.1563634,-0.1878249,-0.0735065,-0.5770065,0.0771755,-0.9000649,0.723047,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.3,25,"1","0","1","0","0","0","0",80.64516,4.9,31,"1","1",1.565791,0,-0.156363,4.45563401440937,4.45712142976966,0.384718846202887,0.444365985590628,0.442878570230345,1.38220293812014
"0","20","0",57,4,5,4,6,5,2,-0.0589354,-0.6650018,0.4580018,-0.5770065,0.6817153,0.8625621,-1.113883,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.4,17,"1","0","0","0","0","0","0",60.71429,3.5,28,"0","0",3.413574,0,-0.058935,3.60206300216668,3.59213840558138,0.652379665146638,-0.102063002166676,-0.0921384055813843,-1.45371550626188
"0","21","0",52,4,6,6,7,2,4,0.1511368,-0.6650018,0.9895102,0.3915404,1.286255,-0.9000649,-0.1954181,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.4,19,"1","0","1","0","1","0","0",86.36364,3.7,22,"0","0",3.940365,0.151137,0,3.62063671795436,3.60946145936643,0.562200254595086,0.0793632820456427,0.0905385406335681,-1.28529660034282
"0","22","1",29,4,3,3,2,2,3,-0.937076,-0.6650018,-0.6050149,-1.06128,-1.736444,-0.9000649,-0.6546507,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.3,19,"1","0","1","0","1","1","0",73.07692,3.4,26,"1","0",0.9198381,0,-0.937076,3.58338855949026,3.59786460749982,0.154644275281316,-0.183388559490263,-0.197864607499819,-0.579651212734099
"1","23","0",62,4,4,3,4,1,2,-0.8214405,-0.6650018,-0.0735065,-1.06128,-0.5273642,-1.487607,-1.113883,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.3,30,"0","0","1","0","1","0","0",76.92308,4.3,39,"1","0",1.257183,0,-0.821441,4.4067887125779,4.40798333557708,0.834699939620646,-0.106788712577902,-0.107983335577083,0.601137209731757
"1","24","0",64,5,5,4,5,3,3,-0.1994712,-0.1878249,0.4580018,-0.5770065,0.0771755,-0.3125226,-0.6546507,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.4,15,"0","0","1","0","0","0","0",62.5,4.5,24,"1","0",0.8714417,0,-0.199471,4.49009349061383,4.4923370133409,0.855442823900741,0.00990650938616788,0.00766298665910359,0.558813066114451
"0","25","0",34,8,8,9,8,6,8,1.687167,1.243706,2.052527,1.844361,1.890795,1.450104,1.641512,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.6,20,"1","0","1","0","0","0","0",76.92308,4.8,26,"1","0",0.454603,1.68717,0,4.76737302536748,4.76721924432658,0.160237632227366,0.0326269746325183,0.0327807556734179,-0.590992931727663
"1","26","0",58,5,4,4,4,2,4,-0.4101976,-0.1878249,-0.0735065,-0.5770065,-0.5273642,-0.9000649,-0.1954181,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",4.2,84,"0","0","1","0","1","0","0",52.83019,4.4,159,"1","0",0.4904639,0,-0.410198,4.32719999574426,4.33055887932729,0.794930327712766,0.0728000042557406,0.0694411206727104,0.677496577504857
"1","27","1",52,7,4,5,4,5,4,0.1233448,0.7665288,-0.0735065,-0.092733,-0.5273642,0.8625621,-0.1954181,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",4,13,"0","1","1","0","1","1","0",81.25,4.4,16,"1","0",1.5706,0.123345,0,4.15163985647018,4.16878074531368,0.721672470244769,0.248360143529821,0.231219254686317,0.807692869024336
"1","28","0",73,6,1,3,5,2,1,-0.8059942,0.2893519,-1.668032,-1.06128,0.0771755,-0.9000649,-1.573116,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.3,12,"0","1","1","0","1","0","0",70.58823,3.6,17,"1","0",3.385376,0,-0.805994,3.46277051516341,3.45704362447166,0.948652196833856,0.137229484836594,0.142956375528337,0.324693830945973
"1","29","0",70,2,5,3,2,3,3,-0.8210418,-1.619356,0.4580018,-1.06128,-1.736444,-0.3125226,-0.6546507,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",4.4,47,"0","1","1","0","1","0","0",35.07463,4.6,134,"1","0",3.45521,0,-0.821042,4.47656550118742,4.47154934879884,0.909235267961678,0.123434498812578,0.128450651201161,0.436237086119537
"0","30","0",41,7,3,6,7,4,4,0.3198185,0.7665288,-0.6050149,0.3915404,1.286255,0.2750198,-0.1954181,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2.3,10,"1","0","1","0","1","0","0",83.33334,2.3,12,"1","0",2.261486,0.319818,0,2.65044685971254,2.64346028563739,0.401095326663395,-0.350446859712537,-0.34346028563739,-1.01257378648863
"0","31","0",63,6,5,4,5,4,2,-0.0985568,0.2893519,0.4580018,-0.5770065,0.0771755,0.2750198,-1.113883,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.5,28,"0","0","1","0","1","0","0",65.11628,4.3,43,"0","0",1.890474,0,-0.098557,3.67539772859071,3.66892931823674,0.89254020161817,0.624602271409291,0.631070681763261,-2.11217351081733
"1","32","0",47,3,1,4,3,2,3,-1.012306,-1.142179,-1.668032,-0.5770065,-1.131904,-0.9000649,-0.6546507,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.7,10,"0","0","1","0","0","0","0",66.66666,4.9,15,"1","0",0.7911476,0,-1.01231,4.82177944229148,4.82508409404355,0.568161264828346,0.0782205577085193,0.0749159059564484,1.06334376718582
"1","33","0",39,6,5,6,5,6,5,0.4883314,0.2893519,0.4580018,0.3915404,0.0771755,1.450104,0.2638144,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.9,86,"0","0","1","1","0","0","0",34.95935,4.2,246,"1","0",1.194346,0.488331,0,4.12061129917294,4.12253778587698,0.46690415664119,0.0793887008270557,0.0774622141230248,1.23420522961777
"0","34","1",47,6,2,6,4,3,5,-0.1719505,0.2893519,-1.136523,0.3915404,-0.5273642,-0.3125226,0.2638144,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",4,21,"1","0","1","1","1","0","0",100,4.2,21,"1","0",1.796693,0,-0.171951,4.16255526965938,4.17448190881847,0.4069354950628,0.0374447303406171,0.0255180911815316,-1.02220556504364
"1","35","0",54,4,1,2,4,1,2,-1.167907,-0.6650018,-1.668032,-1.545553,-0.5273642,-1.487607,-1.113883,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.3,15,"0","1","1","0","1","0","0",100,4.3,15,"1","0",1.161077,0,-1.16791,4.4339488086145,4.43570022163316,0.720176000212093,-0.133948808614504,-0.13570022163316,0.810258788418571
"1","36","1",44,8,6,8,5,5,7,0.9525534,1.243706,0.9895102,1.360087,0.0771755,0.8625621,1.182279,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.8,30,"1","0","1","0","0","0","0",54.54546,3.9,55,"1","0",1.079378,0.952553,0,3.98846234804001,4.00763615489452,0.356918860536188,-0.0884623480400095,-0.107636154894517,1.43544195594672
"1","37","1",47,2,2,2,4,2,2,-1.140457,-1.619356,-1.136523,-1.545553,-0.5273642,-0.9000649,-1.113883,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.8,20,"0","0","1","0","1","0","0",74.07407,3.9,27,"1","0",0.8278397,0,-1.14046,3.98433309391188,4.00353800054307,0.62956472044552,-0.0843330939118805,-0.103538000543068,0.962004800735919
"1","38","0",62,5,3,2,3,3,2,-0.8161172,-0.1878249,-0.6050149,-1.545553,-1.131904,-0.3125226,-1.113883,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4,12,"0","1","1","0","0","0","0",92.30769,4.1,13,"1","0",1.413386,0,-0.816117,4.13358107742798,4.13413463774359,0.849734343447047,-0.0335810774279794,-0.0341346377435894,0.570668932865283
"1","39","0",60,6,4,4,4,2,2,-0.4837456,0.2893519,-0.0735065,-0.5770065,-0.5273642,-0.9000649,-1.113883,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.6,25,"0","0","1","0","0","0","0",73.52941,4.8,34,"1","0",1.346971,0,-0.483746,4.68752192545634,4.6887612549246,0.802236224005982,0.11247807454366,0.111238745075403,0.663855663283414
"0","40","0",37,7,4,8,8,5,5,0.8450468,0.7665288,-0.0735065,1.360087,1.890795,0.8625621,0.2638144,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.5,15,"0","0","1","0","1","0","0",88.23529,3.3,17,"1","0",2.546899,0.845047,0,3.76630706228764,3.75900919791899,0.429831101770829,-0.466307062287643,-0.459009197918987,-1.06002136710796
"0","41","0",42,3,3,5,4,3,6,-0.3261277,-1.142179,-0.6050149,-0.092733,-0.5273642,-0.3125226,0.723047,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.7,13,"0","0","1","0","0","0","0",92.85714,4.4,14,"1","0",1.939639,0,-0.326128,4.84204672994599,4.83708093546792,0.437474192362767,-0.442046729945988,-0.437080935467917,-1.07267727272657
"1","42","0",35,2,4,7,6,6,4,0.1865589,-1.619356,-0.0735065,0.8758139,0.6817153,1.450104,-0.1954181,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",4.2,42,"0","0","1","0","1","0","0",82.35294,4.3,51,"1","0",5.791667,0.186559,0,4.4204789413111,4.41024492673851,0.353501892705075,-0.120478941311105,-0.110244926738509,1.44212789964894
"0","43","0",39,8,8,8,9,7,9,1.881674,1.243706,2.052527,1.360087,2.495334,2.037647,2.100744,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",3.4,22,"1","0","1","1","1","0","0",91.66666,3.3,24,"0","0",1.157145,1.88167,0,3.65761554250399,3.65450139920756,0.283179715553153,-0.357615542503987,-0.354501399207556,-0.816002596941151
"1","44","0",49,7,6,6,5,6,9,0.9626006,0.7665288,0.9895102,0.3915404,0.0771755,1.450104,2.100744,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.9,28,"0","1","1","0","1","0","0",62.22222,4,45,"1","0",2.682287,0.962601,0,4.09038722143761,4.08789167830688,0.661072331295014,-0.0903872214376102,-0.0878916783068808,0.909826376892337
"1","45","0",61,4,5,5,6,4,5,0.1534694,-0.6650018,0.4580018,-0.092733,0.6817153,0.2750198,0.2638144,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",4.5,22,"0","1","1","1","1","0","0",81.48148,4.5,27,"1","0",1.129245,0.153469,0,4.5922900325074,4.59401374488976,0.813593142832667,-0.0922900325074014,-0.0940137448897556,0.642331475896066
"0","46","0",33,7,7,8,7,6,7,1.261046,0.7665288,1.521019,1.360087,1.286255,1.450104,1.182279,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",4.7,30,"0","1","1","0","1","0","0",96.77419,4.9,31,"1","0",0.3645249,1.26105,0,4.86860560249055,4.868262432281,0.288002872074358,0.0313943975094464,0.0317375677189977,-0.82423467700722
"1","47","0",58,7,3,6,6,2,4,0.0232144,0.7665288,-0.6050149,0.3915404,0.6817153,-0.9000649,-0.1954181,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",3.5,26,"1","1","1","0","1","0","0",76.47059,3.7,34,"1","1",2.416721,0.023214,0,3.68713079023263,3.68528290646289,0.669052576460841,0.0128692097673686,0.0147170935371124,0.896540721121296
"1","48","0",56,4,2,4,6,4,3,-0.3460746,-0.6650018,-1.136523,-0.5770065,0.6817153,0.2750198,-0.6546507,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.7,12,"1","1","1","0","1","0","0",63.15789,3.9,19,"1","0",2.317183,0,-0.346075,3.87613721175849,3.87477792653257,0.616300511433608,0.0238627882415119,0.0252220734674298,0.983890838629027
"0","49","0",50,5,2,3,4,2,3,-0.744618,-0.1878249,-1.136523,-1.06128,-0.5273642,-0.9000649,-0.6546507,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",4,22,"1","0","1","1","1","0","0",81.48148,4.4,27,"0","0",0.6433402,0,-0.744618,4.1657770732213,4.16408807654744,0.479488357006294,0.234222926778695,0.23591192345256,-1.1427537112723
"1","50","0",52,5,4,3,3,2,2,-0.7447439,-0.1878249,-0.0735065,-1.06128,-1.131904,-0.9000649,-1.113883,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.1,57,"0","0","1","0","0","0","0",85.07462,4.4,67,"1","0",1.171195,0,-0.744744,4.25840974740815,4.26006364459151,0.711175103881493,0.141590252591846,0.139936355408485,0.825635029763255
"0","51","0",33,9,3,7,7,4,5,0.6361284,1.720883,-0.6050149,0.8758139,1.286255,0.2750198,0.2638144,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.4,10,"1","0","1","0","0","0","0",66.66666,4.5,15,"1","1",3.466259,0.636128,0,4.5965827059836,4.58811805652793,0.154454660180779,-0.0965827059836046,-0.0881180565279287,-0.57926416637171
"1","52","0",57,6,5,6,5,5,7,0.5434852,0.2893519,0.4580018,0.3915404,0.0771755,0.8625621,1.182279,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.2,69,"0","0","1","0","0","0","0",89.61039,4.3,77,"1","1",0.8222913,0.543485,0,4.33153166285073,4.3340234900843,0.777256618659732,-0.0315316628507318,-0.0340234900842997,0.709908042771452
"1","53","0",38,9,6,8,7,4,5,0.9825948,1.720883,0.9895102,1.360087,1.286255,0.2750198,0.2638144,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.5,46,"1","1","1","0","1","0","0",70.76923,4.8,65,"1","1",1.797135,0.982595,0,4.66610821396353,4.66740411438139,0.219634306030381,0.133891786036466,0.132595885618605,1.74114408422097
"0","54","0",34,4,2,1,1,1,1,-1.538843,-0.6650018,-1.136523,-2.029827,-2.340983,-1.487607,-1.573116,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.8,54,"1","0","0","1","0","0","0",59.34066,4.1,91,"1","0",1.813754,0,-1.53884,4.04138709130262,4.03695605010393,0.199500974230795,0.0586129086973814,0.0630439498960707,-0.667113129197679
"0","55","0",34,7,6,7,6,6,8,1.067531,0.7665288,0.9895102,0.8758139,0.6817153,1.450104,1.641512,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.1,24,"0","0","0","0","0","0","0",66.66666,3.5,36,"1","0",0.7581155,1.06753,0,3.4068732589791,3.40427143307869,0.428795581603876,0.0931267410208951,0.095728566921311,-1.05830820907649
"0","56","0",32,3,3,7,3,3,3,-0.4143639,-1.142179,-0.6050149,1.360087,-1.131904,-0.3125226,-0.6546507,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.7,85,"0","1","0","1","0","0","0",34.27419,4,248,"1","1",4.297712,0,-0.414364,3.97063723021576,3.9588980502597,0.340566403298101,0.0293627697842371,0.0411019497403031,-0.912550271744074
"1","57","0",42,8,5,5,5,6,8,0.7962944,1.243706,0.4580018,-0.092733,0.0771755,1.450104,1.641512,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.9,44,"1","0","0","1","0","0","0",70.96774,3.8,62,"1","0",2.763981,0.796294,0,4.10776475233328,4.10584827568637,0.303679211571814,-0.307764752333283,-0.305848275686367,1.54388040975369
"1","58","0",43,5,2,3,4,3,3,-0.6466943,-0.1878249,-1.136523,-1.06128,-0.5273642,-0.3125226,-0.6546507,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4,35,"1","0","0","1","0","0","0",68.62745,4.1,51,"1","0",0.7483485,0,-0.646694,4.19005728675665,4.19366656420719,0.324198450014523,-0.0900572867566529,-0.0936665642071892,1.5009326771355
"0","59","0",35,3,4,3,5,4,3,-0.4299034,-1.142179,-0.0735065,-1.06128,0.0771755,0.2750198,-0.6546507,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",3.3,11,"0","0","1","0","1","1","0",57.89474,3.7,19,"1","1",1.837548,0,-0.429903,3.58880809811605,3.58337262087734,0.434367342816861,0.11119190188395,0.116627379122658,-1.06753025911046
